,display_name,date,new_cases,rolling_average_new_cases_centered
0,Nationwide,2020-02-07,1.0,3.8571428571428568
1,Nationwide,2020-02-11,1.0,3.857142857142856
2,Nationwide,2020-02-12,0.0,1.0
3,Nationwide,2020-02-18,1.0,1.5714285714285714
4,Nationwide,2020-02-20,2.0,2.4285714285714284
5,Nationwide,2020-02-22,5.0,6.0
6,Nationwide,2020-02-24,5.0,10.428571428571429
7,Nationwide,2020-02-25,22.0,11.857142857142858
8,Nationwide,2020-03-04,84.0,93.14285714285714
9,Nationwide,2020-03-05,114.0,118.85714285714286
10,Nationwide,2020-03-12,756.0,734.8571428571429
11,Nationwide,2020-03-15,985.0,1582.0
12,Nationwide,2020-03-31,23664.0,24421.571428571428
13,Nationwide,2020-04-04,33519.0,29875.85714285714
14,Nationwide,2020-04-11,49929.0,32047.571428571428
15,Nationwide,2020-04-12,25477.0,31442.571428571428
16,Nationwide,2020-04-13,23413.0,31200.571428571428
17,Nationwide,2020-04-15,28722.0,27297.42857142857
18,Nationwide,2020-04-22,26491.0,28480.42857142857
19,Nationwide,2020-04-23,29765.0,28585.0
20,Nationwide,2020-04-24,35751.0,28344.571428571428
21,Nationwide,2020-04-26,25400.0,28747.0
22,Nationwide,2020-04-30,29858.0,27651.42857142857
23,Nationwide,2020-05-10,19589.0,23288.0
24,Nationwide,2020-05-16,24445.0,22723.285714285717
25,Nationwide,2020-06-02,20647.0,22089.0
26,Nationwide,2020-06-04,21962.0,22159.714285714286
27,Nationwide,2020-06-11,23267.0,22184.571428571428
28,Nationwide,2020-06-14,20773.0,24400.0
29,Nationwide,2020-06-17,26919.0,27683.0
30,Nationwide,2020-06-20,33584.0,31508.0
31,Nationwide,2020-06-21,28767.0,33473.0
32,Nationwide,2020-06-27,46775.0,43893.57142857143
33,Nationwide,2020-06-28,40250.0,45709.142857142855
34,Nationwide,2020-07-02,56922.0,50204.857142857145
35,Nationwide,2020-07-06,44475.0,54822.28571428572
36,Nationwide,2020-07-10,70009.0,61816.42857142857
37,Nationwide,2020-07-12,58819.0,64351.0
38,Nationwide,2020-07-14,68493.0,66141.14285714286
39,Nationwide,2020-07-19,59716.0,65690.28571428571
40,Nationwide,2020-07-24,72662.0,63139.71428571428
41,Nationwide,2020-07-31,66020.0,57527.42857142857
42,Nationwide,2020-08-01,58484.0,56696.142857142855
43,Nationwide,2020-08-05,54795.0,52116.142857142855
44,Nationwide,2020-08-09,44514.0,49531.857142857145
45,Nationwide,2020-08-16,36604.0,43479.857142857145
46,Nationwide,2020-08-22,42432.0,40114.28571428572
47,Nationwide,2020-08-23,32315.0,40404.71428571428
48,Nationwide,2020-08-24,32943.0,40709.71428571428
49,Nationwide,2020-08-29,41493.0,40614.42857142857
50,Nationwide,2020-08-31,31317.0,39548.28571428572
51,Nationwide,2020-09-04,47307.0,38648.71428571428
52,Nationwide,2020-09-05,41640.0,36022.57142857143
53,Nationwide,2020-09-07,25433.0,34558.71428571428
54,Nationwide,2020-09-14,32967.0,38833.0
55,Nationwide,2020-09-30,46560.0,42700.57142857143
56,Nationwide,2020-10-09,56875.0,50057.0
57,Nationwide,2020-10-23,79885.0,68782.28571428571
58,Nationwide,2020-10-24,69206.0,70475.0
59,Nationwide,2020-10-26,71394.0,75161.42857142857
60,Nationwide,2020-10-27,71654.0,77456.14285714286
61,Nationwide,2020-10-31,81580.0,97520.71428571428
62,Nationwide,2020-11-01,141947.0,101656.71428571428
63,Nationwide,2020-11-03,99601.0,112603.0
64,Nationwide,2020-11-10,147030.0,140091.2857142857
65,Nationwide,2020-11-11,155881.0,147942.85714285713
66,Nationwide,2020-11-12,150814.0,151977.7142857143
67,Nationwide,2020-11-15,134659.0,158419.2857142857
68,Nationwide,2020-11-18,168375.0,170652.7142857143
69,Nationwide,2020-11-19,195772.0,171034.42857142858
70,Nationwide,2020-12-02,220612.0,196185.85714285716
71,Nationwide,2020-12-03,223609.0,202086.7142857143
72,Nationwide,2020-12-06,165342.0,211653.57142857145
73,Nationwide,2020-12-07,178508.0,212282.14285714287
74,Nationwide,2020-12-09,235680.0,213840.85714285716
75,Nationwide,2020-12-10,228009.0,215372.57142857145
76,Nationwide,2020-12-12,217573.0,213441.57142857145
77,Nationwide,2020-12-13,176064.0,212992.7142857143
