sampling_week,effective_concentration_rolling_average,population,region
2020-01-01,134.84196356544973,"100,000-300,000",Midwest
2020-01-01,134.84196356544973,"100,000-300,000",Nationwide
2020-03-04,1.1601456917068398,"1,000,000-3,000,000",Nationwide
2020-03-04,1.7402185375602597,"1,000,000-3,000,000",Northeast
2020-03-11,8.681434751777827,"3,000,000-10,000,000",Nationwide
2020-03-11,12.590344274524805,"1,000,000-3,000,000",Northeast
2020-03-11,1.0363388475406434,"1,000,000-3,000,000",West
2020-03-18,137.46023789508834,"3,000,000-10,000,000",Nationwide
2020-03-18,317.4210166016331,"1,000,000-3,000,000",Northeast
2020-03-18,5.941894529052977,"1,000,000-3,000,000",West
2020-03-25,0.0,"10,000-30,000",Midwest
2020-03-25,511.70558254885896,"3,000,000-10,000,000",Nationwide
2020-03-25,1231.7363926720998,"3,000,000-10,000,000",Northeast
2020-03-25,53.10480374825213,"1,000,000-3,000,000",South
2020-03-25,26.353206268074132,"1,000,000-3,000,000",West
2020-04-01,0.7137391277999741,<3000,Midwest
2020-04-01,382.1488106085709,"3,000,000-10,000,000",Nationwide
2020-04-01,943.890745787327,"3,000,000-10,000,000",Northeast
2020-04-01,104.20343892683888,"1,000,000-3,000,000",South
2020-04-01,84.37984448588064,"1,000,000-3,000,000",West
2020-04-08,19.307988394638443,"30,000-100,000",Midwest
2020-04-08,580.7531183327998,"3,000,000-10,000,000",Nationwide
2020-04-08,1947.620919256688,"3,000,000-10,000,000",Northeast
2020-04-08,77.72063968982245,"3,000,000-10,000,000",South
2020-04-08,103.42068698243176,"1,000,000-3,000,000",West
2020-04-15,185.7991105373594,"100,000-300,000",Midwest
2020-04-15,669.6392456766489,"10,000,000-30,000,000",Nationwide
2020-04-15,2471.7901483642945,"3,000,000-10,000,000",Northeast
2020-04-15,102.73360424019104,"3,000,000-10,000,000",South
2020-04-15,87.62585327127778,"1,000,000-3,000,000",West
2020-04-22,637.9036165427151,"1,000,000-3,000,000",Midwest
2020-04-22,915.1858372227084,"10,000,000-30,000,000",Nationwide
2020-04-22,2859.987059640962,"3,000,000-10,000,000",Northeast
2020-04-22,216.9281479749557,"1,000,000-3,000,000",South
2020-04-22,172.4985699301768,"1,000,000-3,000,000",West
2020-04-29,823.5738860293824,"1,000,000-3,000,000",Midwest
2020-04-29,408.0117175743304,"10,000,000-30,000,000",Nationwide
2020-04-29,902.2038949807576,"3,000,000-10,000,000",Northeast
2020-04-29,159.35394311647727,"3,000,000-10,000,000",South
2020-04-29,203.63312278131392,"3,000,000-10,000,000",West
2020-05-06,682.1899477978383,"1,000,000-3,000,000",Midwest
2020-05-06,220.6113699532044,"10,000,000-30,000,000",Nationwide
2020-05-06,172.4607564002058,"3,000,000-10,000,000",Northeast
2020-05-06,220.11337934041163,"3,000,000-10,000,000",South
2020-05-06,169.40059436350228,"3,000,000-10,000,000",West
2020-05-13,266.1279326883604,"1,000,000-3,000,000",Midwest
2020-05-13,139.6998337116797,"10,000,000-30,000,000",Nationwide
2020-05-13,129.3232825418399,"3,000,000-10,000,000",Northeast
2020-05-13,186.19649643124143,"3,000,000-10,000,000",South
2020-05-13,76.75993393163158,"3,000,000-10,000,000",West
2020-05-20,117.82703582516604,"1,000,000-3,000,000",Midwest
2020-05-20,72.67856001409183,"10,000,000-30,000,000",Nationwide
2020-05-20,95.2849528739131,"3,000,000-10,000,000",Northeast
2020-05-20,95.28060764790492,"3,000,000-10,000,000",South
2020-05-20,29.99915176186364,"10,000,000-30,000,000",West
2020-05-27,96.32179262451936,"1,000,000-3,000,000",Midwest
2020-05-27,76.59100897382287,"10,000,000-30,000,000",Nationwide
2020-05-27,71.33455166557508,"3,000,000-10,000,000",Northeast
2020-05-27,114.48639272755764,"3,000,000-10,000,000",South
2020-05-27,37.38418816424223,"3,000,000-10,000,000",West
2020-06-03,116.358909655898,"1,000,000-3,000,000",Midwest
2020-06-03,82.05859790496567,"10,000,000-30,000,000",Nationwide
2020-06-03,52.29730534006418,"3,000,000-10,000,000",Northeast
2020-06-03,146.17053036359502,"3,000,000-10,000,000",South
2020-06-03,47.638270792734126,"10,000,000-30,000,000",West
2020-06-10,208.16700607953183,"1,000,000-3,000,000",Midwest
2020-06-10,116.6102523973987,"10,000,000-30,000,000",Nationwide
2020-06-10,53.61690494255601,"3,000,000-10,000,000",Northeast
2020-06-10,199.28051656488523,"3,000,000-10,000,000",South
2020-06-10,72.64417898838548,"3,000,000-10,000,000",West
2020-06-17,133.16360448583373,"1,000,000-3,000,000",Midwest
2020-06-17,107.3780670810458,"10,000,000-30,000,000",Nationwide
2020-06-17,45.91237197210776,"3,000,000-10,000,000",Northeast
2020-06-17,171.97567003534778,"3,000,000-10,000,000",South
2020-06-17,93.58719875019682,"3,000,000-10,000,000",West
2020-06-24,72.17284804328983,"1,000,000-3,000,000",Midwest
2020-06-24,99.71585252339024,"10,000,000-30,000,000",Nationwide
2020-06-24,28.0698938756879,"3,000,000-10,000,000",Northeast
2020-06-24,172.46643238120706,"3,000,000-10,000,000",South
2020-06-24,83.55038907519618,"3,000,000-10,000,000",West
2020-07-01,73.59344328829532,"1,000,000-3,000,000",Midwest
2020-07-01,154.2860916861064,"10,000,000-30,000,000",Nationwide
2020-07-01,35.52506618632884,"3,000,000-10,000,000",Northeast
2020-07-01,326.8483012318857,"3,000,000-10,000,000",South
2020-07-01,50.40020388835759,"300,000-1,000,000",West
2020-07-08,94.92286327362608,"300,000-1,000,000",Midwest
2020-07-08,178.8151199841714,"10,000,000-30,000,000",Nationwide
2020-07-08,38.93198659824527,"3,000,000-10,000,000",Northeast
2020-07-08,360.3386442655458,"3,000,000-10,000,000",South
2020-07-08,47.82684754677073,"1,000,000-3,000,000",West
2020-07-15,148.4438517842886,"1,000,000-3,000,000",Midwest
2020-07-15,227.009512940979,"10,000,000-30,000,000",Nationwide
2020-07-15,36.92212456650369,"3,000,000-10,000,000",Northeast
2020-07-15,459.8300043840707,"3,000,000-10,000,000",South
2020-07-15,64.84650369719888,"300,000-1,000,000",West
2020-07-22,149.11615714892184,"1,000,000-3,000,000",Midwest
2020-07-22,159.971049636922,"10,000,000-30,000,000",Nationwide
2020-07-22,34.14518346334342,"3,000,000-10,000,000",Northeast
2020-07-22,295.5492422239605,"3,000,000-10,000,000",South
2020-07-22,93.82548785723796,"1,000,000-3,000,000",West
2020-07-29,132.06447463599204,"300,000-1,000,000",Midwest
2020-07-29,150.51444921391726,"3,000,000-10,000,000",Nationwide
2020-07-29,39.126682922063225,"1,000,000-3,000,000",Northeast
2020-07-29,266.45957801959617,"3,000,000-10,000,000",South
2020-07-29,88.10090707200168,"1,000,000-3,000,000",West
2020-08-05,168.18507252935208,"1,000,000-3,000,000",Midwest
2020-08-05,165.8721629663679,"10,000,000-30,000,000",Nationwide
2020-08-05,46.13014902115012,"3,000,000-10,000,000",Northeast
2020-08-05,260.8531642383808,"3,000,000-10,000,000",South
2020-08-05,96.170434887841,"1,000,000-3,000,000",West
2020-08-12,163.80727466467866,"1,000,000-3,000,000",Midwest
2020-08-12,126.18813524313424,"10,000,000-30,000,000",Nationwide
2020-08-12,40.23179324911308,"3,000,000-10,000,000",Northeast
2020-08-12,169.33610959899548,"3,000,000-10,000,000",South
2020-08-12,99.7514847370198,"3,000,000-10,000,000",West
